shop_name,area,cluster,lon,lat
浜松篠ケ瀬店,浜松,0,137.7766664,34.7240462
浜松中田店,浜松,0,137.7552902,34.7349402
浜松白羽店,浜松,1,137.7395542,34.6802365
浜松和合店,浜松,2,137.7223635,34.7331529
浜松有玉店,浜松,0,137.7518407,34.75627
浜松富塚店,浜松,2,137.701059,34.72124
浜松鴨江店,浜松,2,137.7107277,34.7047959
浜松高塚店,浜松,3,137.676206,34.688088
浜松高丘店,浜松,4,137.6994023,34.7618424
浜北店,浜松,5,137.7632748,34.7993358
細江本店,浜松,6,137.6621165,34.8025667
新居湖西店,湖西,7,137.5492359,34.7045086
菊川本店,菊川・掛川・袋井・磐田,8,138.0854148,34.7381015
掛川本店,菊川・掛川・袋井・磐田,9,137.9928414,34.7730826
掛川インター店,菊川・掛川・袋井・磐田,9,138.0222732,34.7615719
袋井本店,菊川・掛川・袋井・磐田,10,137.9136665,34.7469698
磐田本店,菊川・掛川・袋井・磐田,11,137.857895,34.721703
豊田店,菊川・掛川・袋井・磐田,12,137.8216663,34.7217045
新静岡セノバ店,静岡・焼津・藤枝・島田・吉田,13,138.3869531,34.9755108
静岡瀬名川店,静岡・焼津・藤枝・島田・吉田,14,138.4293639,35.009088
静岡池田店,静岡・焼津・藤枝・島田・吉田,15,138.4235676,34.9797617
静岡インター店,静岡・焼津・藤枝・島田・吉田,13,138.3894041,34.9490266
焼津店,静岡・焼津・藤枝・島田・吉田,16,138.3084779,34.8509936
藤枝築地店,静岡・焼津・藤枝・島田・吉田,17,138.273648,34.859657
島田店,静岡・焼津・藤枝・島田・吉田,18,138.1854594,34.8362952
吉田店,静岡・焼津・藤枝・島田・吉田,19,138.2491626,34.7662295
御殿場プレミアムアウトレット店,御殿場・長泉・沼津・富士,20,138.965762,35.3051389
御殿場インター店,御殿場・長泉・沼津・富士,20,138.9388401,35.3007885
函南店,御殿場・長泉・沼津・富士,21,138.946655,35.0918077
長泉店,御殿場・長泉・沼津・富士,22,138.9077824,35.1385755
沼津学園通り店,御殿場・長泉・沼津・富士,23,138.8671422,35.1180255
富士鷹岡店,御殿場・長泉・沼津・富士,24,138.6482332,35.1947806
富士錦店,御殿場・長泉・沼津・富士,25,138.678923,35.156417
